ENSG	GENE	SCORE
ENSG00000005801	ZNF195	0.0003700703719005105
ENSG00000005810	MYCBP2	0.001814565502854748
ENSG00000005812	FBXL3	0.0009958980583633092
ENSG00000005844	ITGAL	0.0021784489210858737
ENSG00000005882	PDK2	0.0001959052749498369
ENSG00000005884	ITGA3	0.0025918097212525026
ENSG00000005961	ITGA2B	0.00037592009016407246
ENSG00000005981	ASB4	0.0007745944560610951
ENSG00000006007	GDE1	0.00016966394525752548
ENSG00000006015	REX1BD	0.002647753123937946
ENSG00000006016	CRLF1	0.0002357160335577646
ENSG00000006025	OSBPL7	0.0005573095129420835
ENSG00000006042	TMEM98	0.0003065764246912295
ENSG00000006047	YBX2	0.0004503072354964388
ENSG00000006059	KRT33A	0.0006277737588789023
ENSG00000006062	MAP3K14	0.0005078721601421421
ENSG00000006071	ABCC8	0.000761488140142319
ENSG00000006116	CACNG3	0.0005799926964300539
ENSG00000006128	TAC1	0.0032916559234763554
ENSG00000006194	ZNF263	0.0009635374781282735
ENSG00000006210	CX3CL1	0.0003567093908714014
ENSG00000006282	SPATA20	0.0005192125279336324
ENSG00000006283	CACNA1G	0.00047928641674843675
ENSG00000006327	TNFRSF12A	0.00041171403290718445
ENSG00000006377	DLX6	0.00021038378372395528
ENSG00000006432	MAP3K9	0.00029908154215263494
ENSG00000006451	RALA	0.0011074198239384714
ENSG00000006453	BAIAP2L1	0.001858219420455498
ENSG00000006468	ETV1	0.00041579117123546894
ENSG00000006530	AGK	0.000582118014790467
ENSG00000006534	ALDH3B1	0.0004082074967755034
ENSG00000006576	PHTF2	0.010803255800055922
ENSG00000006606	CCL26	0.00019694445904860913
ENSG00000006607	FARP2	0.0002102686003127019
ENSG00000006611	USH1C	0.0026490096081488446
ENSG00000006625	GGCT	0.0006128843579062959
ENSG00000006634	DBF4	0.0009842037939051806
ENSG00000006638	TBXA2R	0.0009261261410529187
ENSG00000006652	IFRD1	0.0002953628493287397
ENSG00000006659	LGALS14	0.002462355615080014
ENSG00000006695	COX10	0.00025928466561708774
ENSG00000006704	GTF2IRD1	0.002525653927023086
ENSG00000006712	PAF1	0.00244160460852072
ENSG00000006715	VPS41	0.0004733008190669352
ENSG00000006740	ARHGAP44	0.000739368863605705
ENSG00000006744	ELAC2	0.0025655524480043823
ENSG00000006747	SCIN	0.00031821080983718275
ENSG00000006788	MYH13	0.00031655928364671126
ENSG00000006831	ADIPOR2	0.001716752487368467
ENSG00000006837	CDKL3	0.0022969491947151255
ENSG00000007001	UPP2	0.0013171856639928592
ENSG00000007038	PRSS21	0.000661579182406058
ENSG00000007047	MARK4	0.0012350721560778766
ENSG00000007062	PROM1	0.0006631597530031286
ENSG00000007080	CCDC124	0.006930958639941309
ENSG00000007168	PAFAH1B1	0.001205270379614376
ENSG00000007171	NOS2	0.000613688459225159
ENSG00000007237	GAS7	0.000670441437023328
ENSG00000007255	TRAPPC6A	0.0014544848572768387
ENSG00000007264	MATK	0.00044931481670573703
ENSG00000007306	CEACAM7	0.0005963433795841411
ENSG00000007312	CD79B	0.00023703856572865334
ENSG00000007314	SCN4A	0.0005830449183577002
ENSG00000007350	TKTL1	0.00045145894091547234
ENSG00000007376	RPUSD1	0.0005522777737496654
ENSG00000007384	RHBDF1	0.010250190477336218
ENSG00000007392	LUC7L	0.0023045098985221557
ENSG00000007402	CACNA2D2	0.0005164208901078382
ENSG00000007516	BAIAP3	0.0003332923067773663
ENSG00000007520	TSR3	0.0009103713982767658
ENSG00000007541	PIGQ	0.00033930402628357115
ENSG00000007866	TEAD3	0.0006645243463481165
ENSG00000007908	SELE	0.00035273347452857706
ENSG00000007923	DNAJC11	0.0018613739512147731
ENSG00000007933	FMO3	0.00012377498069326975
ENSG00000007944	MYLIP	0.0019827131827696576
ENSG00000007952	NOX1	0.00048265951295434206
ENSG00000007968	E2F2	0.0005145600475771062
ENSG00000008018	PSMB1	0.00202445990794331
ENSG00000008056	SYN1	0.0005023074093060131
ENSG00000008083	JARID2	0.0004751684507482423
ENSG00000008086	CDKL5	0.0012306945432101202
ENSG00000008118	CAMK1G	0.0005778129693680967
ENSG00000008128	CDK11A	0.0005582662315646303
ENSG00000008130	NADK	0.0010291801875155215
ENSG00000008196	TFAP2B	0.0005280827137994493
ENSG00000008197	TFAP2D	0.015760188596459557
ENSG00000008226	DLEC1	0.0005339280069165397
ENSG00000008256	CYTH3	0.0019084531886619516
ENSG00000008277	ADAM22	0.0006864845349809912
ENSG00000008282	SYPL1	0.0005361650810300489
ENSG00000008283	CYB561	0.00031310269059758866
ENSG00000008294	SPAG9	0.00047069576498870447
ENSG00000008300	CELSR3	0.0007023938085239934
ENSG00000008323	PLEKHG6	0.010025886096855174
ENSG00000008324	SS18L2	0.0022423052485009975
ENSG00000008382	MPND	0.0005856688965195644
ENSG00000008394	MGST1	9.883501536478434e-05
ENSG00000008405	CRY1	0.0014627963253133203
ENSG00000008441	NFIX	0.0005699654541331256
ENSG00000008513	ST3GAL1	0.0002892021707339154
ENSG00000008516	MMP25	0.00021765588769540045
ENSG00000008517	IL32	0.0002442392142256722
ENSG00000008710	PKD1	0.00047233888039954763
ENSG00000008735	MAPK8IP2	0.0011863197391903668
ENSG00000008838	MED24	0.001836484272416783
ENSG00000008853	RHOBTB2	0.0006127430251581245
ENSG00000008869	HEATR5B	0.0006817742250859737
ENSG00000008952	SEC62	0.0007748877710582747
ENSG00000008988	RPS20	0.0007725334617134649
ENSG00000009307	CSDE1	0.0005401828809681319
ENSG00000009335	UBE3C	0.0005145745874415297
ENSG00000009413	REV3L	0.006459614829964266
ENSG00000009694	TENM1	0.000242072934497628
ENSG00000009709	PAX7	0.0014163666548938636
ENSG00000009724	MASP2	0.0008825470972624316
ENSG00000009765	IYD	0.0030769672557653394
ENSG00000009780	FAM76A	0.0006675338318018476
ENSG00000009790	TRAF3IP3	0.0012306462979267963
ENSG00000009830	POMT2	0.0
ENSG00000009844	VTA1	0.002514816598250036
ENSG00000009950	MLXIPL	0.0008502936520926596
ENSG00000009954	BAZ1B	0.001200152096544116
ENSG00000010017	RANBP9	0.0009350667007765878
ENSG00000010030	ETV7	0.002457588930383281
ENSG00000010072	SPRTN	0.000491141044676624
ENSG00000010165	METTL13	0.003458270101418748
ENSG00000010219	DYRK4	0.000520874938729321
ENSG00000010244	ZNF207	0.0007502617090722197
ENSG00000010256	UQCRC1	0.0011791856441050186
ENSG00000010270	STARD3NL	0.00034269460820723907
ENSG00000010278	CD9	0.00015270975802650355
ENSG00000010282	HHATL	0.00015689269298491126
ENSG00000010292	NCAPD2	0.0006604487798540504
ENSG00000010295	IFFO1	0.0008215577859118639
ENSG00000010310	GIPR	0.00015353701382991858
ENSG00000010318	PHF7	0.00044154325860290555
ENSG00000010319	SEMA3G	0.0007142283077428146
ENSG00000010322	NISCH	0.0018374029427832284
ENSG00000010327	STAB1	0.00045737923414890247
ENSG00000010361	FUZ	0.00022863725644128863
ENSG00000010379	SLC6A13	0.0005330494359441218
ENSG00000010404	IDS	0.0006142184690816066
ENSG00000010438	PRSS3	0.0009534752978197503
ENSG00000010539	ZNF200	0.005478623830185825
ENSG00000010610	CD4	0.0009600373109606153
ENSG00000010626	LRRC23	1.0058082745124466
ENSG00000010671	BTK	0.00035094225540888146
ENSG00000010704	HFE	0.00023234796003634983
ENSG00000010803	SCMH1	0.0006018672490881727
ENSG00000010818	HIVEP2	0.16788132060878524
ENSG00000010932	FMO1	0.00010900749293796252
ENSG00000011007	ELOA	0.004058642598465667
ENSG00000011009	LYPLA2	0.0005870327522643493
ENSG00000011028	MRC2	0.0013139614845840697
ENSG00000011114	BTBD7	0.004958870129939896
ENSG00000011132	APBA3	0.00042295622802157595
ENSG00000011143	MKS1	0.002091261312216375
ENSG00000011198	ABHD5	0.0016570758639318228
ENSG00000011201	ANOS1	0.00045039638280286454
ENSG00000011243	AKAP8L	0.002532263133161905
ENSG00000011258	MBTD1	0.004390041865008243
ENSG00000011260	UTP18	0.0006343471920899901
ENSG00000011275	RNF216	0.0010628127788550046
ENSG00000011295	TTC19	0.0030012641016128327
ENSG00000011304	PTBP1	0.0008853078943502624
ENSG00000011332	DPF1	0.0013003822209611826
ENSG00000011376	LARS2	0.0006867193129664884
ENSG00000011405	PIK3C2A	0.0008143888987888204
ENSG00000011422	PLAUR	0.00040012841554926126
ENSG00000011426	ANLN	0.0013894267701743956
ENSG00000011451	WIZ	0.0009791241395760153
ENSG00000011454	RABGAP1	0.000655646641007479
ENSG00000011465	DCN	0.0004510028727509052
ENSG00000011478	QPCTL	8.430696641426039e-05
ENSG00000011485	PPP5C	0.02152856074690135
ENSG00000011523	CEP68	0.0009779212025478046
ENSG00000011566	MAP4K3	0.00046380538310586417
ENSG00000011590	ZBTB32	0.01290685427261451
ENSG00000011600	TYROBP	0.00019488866087158385
ENSG00000011638	LDAF1	0.0011347689945750972
ENSG00000011677	GABRA3	0.0010573972851943836
ENSG00000012061	ERCC1	0.04428289746147129
ENSG00000012124	CD22	0.00016272529694560944
ENSG00000012171	SEMA3B	0.0013034236146722833
ENSG00000012174	MBTPS2	0.0002667379669674119
ENSG00000012211	PRICKLE3	0.0004503401644342375
ENSG00000012223	LTF	0.0004972235897184873
ENSG00000012232	EXTL3	0.0014328013444355747
ENSG00000012504	NR1H4	0.0005259307363303378
ENSG00000012660	ELOVL5	0.0005898189155004729
ENSG00000012779	ALOX5	0.002998551652808601
ENSG00000012822	CALCOCO1	0.0018753695690065797
ENSG00000012963	UBR7	0.0008304978703108645
ENSG00000012983	MAP4K5	0.001636366266893674
ENSG00000013016	EHD3	0.0028570871223791983
ENSG00000013275	PSMC4	0.001793363881915866
ENSG00000013288	MAN2B2	0.00020653720366681227
ENSG00000013293	SLC7A14	0.00011991969313385198
ENSG00000013297	CLDN11	9.358021236494096e-05
ENSG00000013306	SLC25A39	0.0004629417251180712
ENSG00000013364	MVP	0.002386052267411287
ENSG00000013374	NUB1	0.0006625140954383824
ENSG00000013375	PGM3	0.000586957070254357
ENSG00000013392	RWDD2A	0.0008476822372358583
ENSG00000013441	CLK1	0.0009636097763632279
ENSG00000013503	POLR3B	0.0003848443748211139
ENSG00000013561	RNF14	0.0003865816659072152
ENSG00000013563	DNASE1L1	0.001665543305762185
ENSG00000013573	DDX11	0.0007708301166076126
ENSG00000013583	HEBP1	0.0002185513624226587
ENSG00000013725	CD6	0.00391479737231748
ENSG00000013810	TACC3	0.0031256534066415043
ENSG00000014123	UFL1	0.0014207739084213244
ENSG00000014138	POLA2	0.0005174825196263555
ENSG00000014164	ZC3H3	0.00141891143380235
ENSG00000014216	CAPN1	0.0016727488102787902
ENSG00000014257	ACP3	0.0003916605826361774
ENSG00000014641	MDH1	0.0005970244117179391
ENSG00000014824	SLC30A9	0.0005256968775029236
ENSG00000014914	MTMR11	0.0028775561277143424
ENSG00000014919	COX15	0.00045862793945161684
ENSG00000015133	CCDC88C	0.0003499147203456232
ENSG00000015153	YAF2	0.0016586118053965038
ENSG00000015171	ZMYND11	0.0014091492407715123
ENSG00000015285	WAS	0.0014816284522112255
ENSG00000015413	DPEP1	0.0004794823000793258
ENSG00000015475	BID	0.00035064314010924136
ENSG00000015479	MATR3	0.001353460695781905
ENSG00000015568	RGPD5	0.003896791916758957
ENSG00000015592	STMN4	0.000299186379834282
ENSG00000015676	NUDCD3	0.0012238653014264855
ENSG00000016082	ISL1	0.001913012390559743
ENSG00000016391	CHDH	0.0007476782184312469
ENSG00000016402	IL20RA	0.0002951634266992187
ENSG00000016602	CLCA4	0.0002607996061669837
ENSG00000017260	ATP2C1	0.00040133071229320194
ENSG00000017427	IGF1	0.0017153309759123658
ENSG00000017797	RALBP1	0.014541742237042854
ENSG00000018189	RUFY3	0.0008817051693768008
ENSG00000018236	CNTN1	0.0022277348582520062
ENSG00000018408	WWTR1	0.0017881079375001718
ENSG00000018510	AGPS	0.0004047242605338397
ENSG00000018610	STEEP1	0.002670693368600041
ENSG00000018625	ATP1A2	0.002344600634842209
ENSG00000018699	TTC27	0.0022924093352685304
ENSG00000018869	ZNF582	0.00014637137633144448
ENSG00000019144	PHLDB1	0.0007551035660071648
ENSG00000019169	MARCO	0.0011937640458654641
ENSG00000019505	SYT13	0.004958870129939896
ENSG00000019549	SNAI2	0.001104398878851498
ENSG00000019582	CD74	0.0002734669278652291
ENSG00000019991	HGF	0.0010015060493060446
ENSG00000020129	NCDN	0.0013431491659048334
ENSG00000020181	ADGRA2	0.0037626976206865947
ENSG00000020256	ZFP64	0.0019501212043451233
ENSG00000020426	MNAT1	0.0012073090179001156
ENSG00000020577	SAMD4A	0.0012865403198247805
ENSG00000020633	RUNX3	0.001430665466159553
ENSG00000020922	MRE11	0.0005910356508138648
ENSG00000021300	PLEKHB1	0.0006592997831376124
ENSG00000021355	SERPINB1	9.459170701120456e-05
ENSG00000021461	CYP3A43	0.00031821080983718275
ENSG00000021488	SLC7A9	0.0004462089209482656
ENSG00000021574	SPAST	0.0024301213404669397
ENSG00000021645	NRXN3	0.001001186258463349
ENSG00000021762	OSBPL5	0.0003636864660165884
ENSG00000021776	AQR	0.0010624369435845438
ENSG00000021826	CPS1	0.0002436731847410556
ENSG00000021852	C8B	0.0003854646613490331
ENSG00000022267	FHL1	0.0010164709724449494
ENSG00000022277	RTF2	0.002039802592889828
ENSG00000022355	GABRA1	0.00027754500251830905
ENSG00000022556	NLRP2	0.001159492771648729
ENSG00000022567	SLC45A4	0.0004954212590746465
ENSG00000022840	RNF10	0.001724625549513803
ENSG00000023041	ZDHHC6	0.004660330673914359
ENSG00000023191	RNH1	0.000518805252340826
ENSG00000023228	NDUFS1	0.0006436762198518409
ENSG00000023287	RB1CC1	0.001069878104090094
ENSG00000023318	ERP44	0.0004872128438364598
ENSG00000023330	ALAS1	0.001664241469143235
ENSG00000023445	BIRC3	0.0007049738565001462
ENSG00000023516	AKAP11	0.0018641706853941287
ENSG00000023572	GLRX2	0.0002597598358988762
ENSG00000023608	SNAPC1	0.002943079297665463
ENSG00000023697	DERA	0.000862701179130454
ENSG00000023734	STRAP	0.0004379251158752595
ENSG00000023839	ABCC2	0.0005985159716601629
ENSG00000023892	DEF6	0.003500365538684491
ENSG00000023902	PLEKHO1	0.000815939859194259
ENSG00000023909	GCLM	0.00045581174299513805
ENSG00000024048	UBR2	0.0012557540133002476
ENSG00000024422	EHD2	0.000883928833900427
ENSG00000025039	RRAGD	0.0004656457113014767
ENSG00000025156	HSF2	0.0021515586836358125
ENSG00000025293	PHF20	0.00946825213941338
ENSG00000025434	NR1H3	0.0005602404366982228
ENSG00000025708	TYMP	0.2572591942478084
ENSG00000025770	NCAPH2	0.00020072419488315063
ENSG00000025772	TOMM34	0.0021759377375474287
ENSG00000025796	SEC63	0.0010730378271546215
ENSG00000025800	KPNA6	0.0015659441787647665
ENSG00000026103	FAS	0.0010091020767504233
ENSG00000026508	CD44	0.0004283863211185235
ENSG00000026559	KCNG1	0.00037744299265796144
ENSG00000026652	AGPAT4	0.00010848073770830524
ENSG00000026751	SLAMF7	0.00043991574693791335
ENSG00000026950	BTN3A1	0.0010362558787164744
ENSG00000027001	MIPEP	0.0008273640917195735
ENSG00000027075	PRKCH	0.002891255433041806
ENSG00000027644	INSRR	0.0004258212113654736
ENSG00000027697	IFNGR1	0.00025226889329132973
ENSG00000027847	B4GALT7	0.0008989861507870955
ENSG00000027869	SH2D2A	0.0006962114330235636
ENSG00000028116	VRK2	0.0012692722237943599
ENSG00000028137	TNFRSF1B	0.0004525217264017556
ENSG00000028203	VEZT	0.00021530233937028243
ENSG00000028277	POU2F2	0.0006592777031073638
ENSG00000028310	BRD9	0.000582246920430407
ENSG00000028528	SNX1	0.0007476766395484447
ENSG00000028839	TBPL1	0.002193555959593141
ENSG00000029153	BMAL2	0.0008803674909358961
ENSG00000029363	BCLAF1	0.0018174736392211344
ENSG00000029364	SLC39A9	0.00033934768987364805
ENSG00000029534	ANK1	0.0006796104440809358
ENSG00000029559	IBSP	0.000129532806113275
ENSG00000029639	TFB1M	0.0004751827764266636
ENSG00000029725	RABEP1	0.0016227505798269704
ENSG00000029993	HMGB3	0.0019827265573439945
ENSG00000030066	NUP160	0.0036258738527976675
ENSG00000030110	BAK1	0.00046470481561300403
ENSG00000030304	MUSK	0.0003796291946400743
ENSG00000030419	IKZF2	0.0015783246601586143
ENSG00000031003	FAM13B	0.0003993938423718646
ENSG00000031081	ARHGAP31	0.000600274741600515
ENSG00000031691	CENPQ	0.0025465589803843613
ENSG00000031698	SARS1	0.0004831191815810598
ENSG00000031823	RANBP3	0.0014671417172849033
ENSG00000032219	ARID4A	0.0037318168731417245
ENSG00000032389	EIPR1	0.0005872020267361222
ENSG00000032444	PNPLA6	0.00036496013581199804
ENSG00000032742	IFT88	0.001038813761624624
ENSG00000033011	ALG1	0.0006280275765675469
ENSG00000033030	ZCCHC8	0.0006303696768554801
ENSG00000033050	ABCF2	0.0005291536695040122
ENSG00000033100	CHPF2	0.0001544402900890418
ENSG00000033170	FUT8	0.002350340704424525
ENSG00000033178	UBA6	0.0015035714029636438
ENSG00000033327	GAB2	0.0006883476955863443
ENSG00000033627	ATP6V0A1	0.0007280894747054845
ENSG00000033800	PIAS1	0.000784963727255672
ENSG00000033867	SLC4A7	0.0011260622482041072
ENSG00000034053	APBA2	0.0009177947376883822
ENSG00000034152	MAP2K3	0.0005520971046735212
ENSG00000034510	TMSB10	0.0006133991096248792
ENSG00000034533	ASTE1	0.0008292820291444514
ENSG00000034677	RNF19A	0.0005143130176747945
ENSG00000034693	PEX3	0.0007133232124942879
ENSG00000034713	GABARAPL2	0.0011662036304187495
ENSG00000034971	MYOC	0.0004828014757549681
ENSG00000035115	SH3YL1	0.0007534857754762925
ENSG00000035141	FAM136A	0.0015169023101861967
ENSG00000035403	VCL	0.000964539759024774
ENSG00000035499	DEPDC1B	0.00098619342065831
ENSG00000035664	DAPK2	0.0006597872477414057
ENSG00000035681	NSMAF	0.0004493733727031213
ENSG00000035687	ADSS2	0.0009445190905807976
ENSG00000035720	STAP1	0.0011464771509963612
ENSG00000035862	TIMP2	0.0003813186058323481
ENSG00000035928	RFC1	0.0008458252150376211
ENSG00000036054	TBC1D23	0.0029706774882924947
ENSG00000036257	CUL3	0.0009282432508825877
ENSG00000036448	MYOM2	0.0013990704819661914
ENSG00000036473	OTC	0.0004484278317704593
ENSG00000036530	CYP46A1	0.0004017005696823617
ENSG00000036549	ZZZ3	0.0019703178529653087
ENSG00000036565	SLC18A1	0.00011808620604369935
ENSG00000036828	CASR	0.0006904621643570863
ENSG00000037042	TUBG2	0.0008211237002342386
ENSG00000037241	RPL26L1	0.006330839366682994
ENSG00000037280	FLT4	0.0008573986929150124
ENSG00000037474	NSUN2	0.0005863015112481662
ENSG00000037637	FBXO42	0.0013256349700441206
ENSG00000037749	MFAP3	0.0006912808760262124
ENSG00000037757	MRI1	0.004077654773482209
ENSG00000037897	METTL1	0.00026670798956729413
ENSG00000037965	HOXC8	0.0017269060717808316
ENSG00000038002	AGA	0.0008311097317346139
ENSG00000038219	BOD1L1	0.0012105391767818219
ENSG00000038274	MAT2B	0.0006991531358835346
ENSG00000038295	TLL1	0.0009263981644380692
ENSG00000038358	EDC4	0.0011513286656281707
ENSG00000038382	TRIO	0.0007275196437603881
ENSG00000038427	VCAN	0.00023946713258737873
ENSG00000038532	CLEC16A	0.0007988168658812356
ENSG00000038945	MSR1	0.00011466492833278608
ENSG00000039068	CDH1	0.0012915258625980641
ENSG00000039123	MTREX	0.0005891042480925535
ENSG00000039139	DNAH5	0.0025575595902864734
ENSG00000039319	ZFYVE16	0.0013088859279832832
ENSG00000039523	RIPOR1	0.0008417457108862436
ENSG00000039537	C6	0.00044332025004223397
ENSG00000039560	RAI14	0.0006473404375810787
ENSG00000039600	SOX30	0.039804462349366077
ENSG00000039650	PNKP	0.012227975634004906
ENSG00000039987	BEST2	0.00013231582772732509
ENSG00000040199	PHLPP2	0.0005864525517154107
ENSG00000040275	SPDL1	0.0024722980165279296
ENSG00000040341	STAU2	0.0006470929001807235
ENSG00000040487	SLC66A1	0.0001481610470364103
ENSG00000040531	CTNS	0.0008451468627299619
ENSG00000040608	RTN4R	0.0004033555019304913
ENSG00000040633	PHF23	0.002307045357156312
ENSG00000040731	CDH10	0.000688524942006552
ENSG00000040933	INPP4A	0.00041021159063348023
ENSG00000041353	RAB27B	0.0003480851185031497
ENSG00000041357	PSMA4	0.001720492005460983
ENSG00000041515	MYO16	0.0005079356915302924
ENSG00000041802	LSG1	0.0008673703866861615
ENSG00000041880	PARP3	0.0005045066363891237
ENSG00000041982	TNC	0.002211378860010882
ENSG00000041988	THAP3	0.0018860572677112941
ENSG00000042062	RIPOR3	0.0024098758524360164
ENSG00000042088	TDP1	0.0004915247691315017
ENSG00000042286	AIFM2	0.0010573500208010955
ENSG00000042317	SPATA7	0.019379184790295767
ENSG00000042429	MED17	0.0016386084810164903
ENSG00000042493	CAPG	0.0008886031530437322
ENSG00000042753	AP2S1	0.00042948074747073406
ENSG00000042781	USH2A	0.0015334263994191133
ENSG00000042813	ZPBP	0.011864673336958731
ENSG00000042832	TG	0.00033872115272970404
ENSG00000042980	ADAM28	0.0001971864423921943
ENSG00000043093	DCUN1D1	0.0004713888788501208
ENSG00000043143	JADE2	0.0010336607870158332
ENSG00000043355	ZIC2	0.000434004333556004
ENSG00000043462	LCP2	0.00042074272323588957
ENSG00000043514	TRIT1	0.0008369450640657305
ENSG00000043591	ADRB1	0.0005718676470678474
ENSG00000044012	GUCA2B	0.0001238240554357617
ENSG00000044090	CUL7	0.00036094030133426713
ENSG00000044115	CTNNA1	0.0014044145439129352
ENSG00000044446	PHKA2	0.004263755992724327
ENSG00000044459	CNTLN	0.0017527816312394862
ENSG00000044524	EPHA3	0.00033600444180592604
ENSG00000046604	DSG2	0.0005868882719823887
ENSG00000046647	GEMIN8	0.0006860666164811846
ENSG00000046651	OFD1	0.017449646143859354
ENSG00000046653	GPM6B	0.00042793881152647373
ENSG00000046774	MAGEC2	0.0006188055851907848
ENSG00000046889	PREX2	0.00024283766379085137
ENSG00000047056	WDR37	0.0005641373738853872
ENSG00000047188	YTHDC2	0.0007999203637609753
ENSG00000047230	CTPS2	0.000591493251704378
ENSG00000047249	ATP6V1H	0.001322723478779153
ENSG00000047315	POLR2B	0.001253431298664509
ENSG00000047346	ATOSA	0.004727481610416362
ENSG00000047365	ARAP2	0.0012792177146820904
ENSG00000047410	TPR	0.0019357293886059779
ENSG00000047457	CP	6.08460668445332e-05
ENSG00000047579	DTNBP1	0.012229848218566985
ENSG00000047597	XK	0.0001838585515088198
ENSG00000047617	ANO2	0.0006261981104671577
ENSG00000047621	FERRY3	0.0028936230353338033
ENSG00000047634	SCML1	0.0007737644577900937
ENSG00000047644	WWC3	0.0004744544612549362
ENSG00000047662	FAM184B	0.0007013869631009584
ENSG00000047849	MAP4	0.0017861496276054822
ENSG00000047932	GOPC	0.001359657909915768
ENSG00000047936	ROS1	0.001450841461746677
ENSG00000048028	USP28	0.0005784163804491982
ENSG00000048052	HDAC9	0.0006635607451244141
ENSG00000048140	TSPAN17	0.00039149200097199355
ENSG00000048162	NOP16	0.0005902573177536397
ENSG00000048342	CC2D2A	0.007706183203708861
ENSG00000048392	RRM2B	0.0004900343942608743
ENSG00000048462	TNFRSF17	0.00011837586725960136
ENSG00000048471	SNX29	0.0005644255447805335
ENSG00000048544	MRPS10	0.0003204337613169628
